# UIEffectStage diagnostics
isPlaying    : True
liveEffects  : 1
recentFails  : 0
notes        : 80

NOTE  ActivityIcon[415] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[417] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[221] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[100] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[416] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[179] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@73@1] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@96] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@69@0] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@3] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@115@0] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@120@0] cfgFound=True effectName='ui_zhujiemianzhuanquan' box2=False
NOTE  ActivityIcon[331@73@0] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[415] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[417] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[221] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[100] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[416] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[179] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[415] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[417] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[221] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[100] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[416] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[179] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@96] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[415] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[417] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[221] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[100] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[416] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[179] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@96] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@73@1] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@96] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@69@0] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@3] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@115@0] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@120@0] cfgFound=True effectName='ui_zhujiemianzhuanquan' box2=False
NOTE  ActivityIcon[331@73@0] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[415] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[417] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[221] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[100] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[416] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[179] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[415] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[417] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[221] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[100] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[416] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[179] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@96] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[415] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[417] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[221] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[100] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[416] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[179] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@96] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@73@1] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@96] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@69@0] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@3] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@115@0] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@120@0] cfgFound=True effectName='ui_zhujiemianzhuanquan' box2=False
NOTE  ActivityIcon[331@73@0] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[415] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[417] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[221] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[100] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[416] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[179] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[415] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[417] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[221] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[100] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[416] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[179] cfgFound=True effectName='' box2=False
NOTE  ActivityIcon[331@96] cfgFound=True effectName='' box2=False

[0] ui_expbar  key=effect/objs/ui_effect/ui_expbar/ui_expbar
    effectAlive=True activeInHierarchy=True localScale=(15,15,15)
    particleSystems=6 aliveParticles=13 anyPlaying=True
    renderers=6 anyVisible=True shader=Shenxiao/Effect/LayaParticleUnlit worldBoundsSize=(89.349,71.784,71.784)
    parent=_box_exp_effect parentActive=True parentRect=(50,50)
    rt=50x50 cameraEnabled=True cameraOrtho=6.4 cameraPos=(6020,-6000,5990)
    image=True imageActive=True imageRect=(50,50) imageColor=(1,1,1,1) imageHasTexture=True
    rtPng=effect_0.png

